about,～について,前置詞,I suppose it's different when you think about it over the long term.,長い目で見れば違ってくると思います。
against,～に反対して,前置詞,Are you for or against abortions?,あなたは妊娠中絶に賛成ですか、反対ですか。
along,～に沿って,前置詞,I will go along with your plan.,私はあなたの計画に同調します。
among,〜の間に；～の中の,前置詞,You can number me among your friends.,君は私を君の友人のうちに数えてよい。
as,同じぐらい；～のように,前置詞,"Stop seeing me as a ""normal"" person!",私のことを凡人だと思うのはやめて！
at,～の所で；～に,前置詞,I'm at a loss for words.,何と言ったら良いか分かりません。
beneath,～の下に,前置詞,The money was hidden beneath the floorboards.,金は床板の下に隠されていた。
beside,～の近くに;～の 隣に,前置詞,I'm beside myself with joy.,うれしさで舞い上がっています。
besides,～のほか；～を除いて，その上,前置詞,There was no one in the room besides Mary and John.,メアリーとジョンのほか誰も部屋にいなかった。
between,〜と～の間に,前置詞,This box weighs between five and eight kilograms.,この箱は5キロから8キロぐらいの重さだ。
by,～の近くに,前置詞,You're by my side; everything's fine now.,君が側にいてくれれば何もいらない。
down,下へ；下って,前置詞,You shouldn't look down on him.,君は彼を軽蔑するべきではない。
during,～の間に,前置詞,I slept a little during lunch break because I was so tired.,僕はあまりに疲れていたので昼休みにひと眠りした。
except,～を除いて；～以外,前置詞,All the compositions were good except yours.,君の作文以外の作文はみなよく書けていた。
from,～から；～出身の,前置詞,You're just running away from life's problems.,君はただ人生の問題から逃げているだけだよ。
into,～の中へ,前置詞,Pull into shape after washing.,洗ったあと引っ張って形にして。
of,～の；～から；～について,前置詞,I can't live that kind of life.,私はそんな風には生きられない。
onto,～の上に；～に向けられて,前置詞,She shone her torch onto the floor before us.,懐中電灯をつけて、足元を照らしてくれた。
plus,正数,前置詞,You will be paid a stable base salary plus commissions on sale.,あなたの給与は一定の基本給に販売手数料が加算されます。
since,～以来；～なので,前置詞,I don't know how to demonstrate it， since it's too obvious!,こんなに明らかなことをわざわざどうやって説明したらいいのか分からない。
throughout,至る所に；～の間中ずっと,前置詞,The audience sobbed throughout the climax of the movie.,観客は映画がクライマックスの間すすり泣きした。
upon,〜の上に（フォーマル）,前置詞,You must not look upon him as great.,君は彼を偉大だとおもってはならない。
with,～と一緒に;  ～で；～の一員で；～に賛成して；～した状態で,前置詞,You're so impatient with me.,君は僕にとてもいらいらしている。
without,～なしで,前置詞,I learned to live without her.,僕は彼女無しに生きる術を学んだ。
per,～につき； ～ごとに,前置詞,The item is limited to 1 box per customer.,商品はお一人様1箱まで
alongside,～と並んで；～のそばに；～と平行して,前置詞,Houses were lined up alongside the highway.,街道沿いに家が並んでいた。
despite,〜にもかかわらず,前置詞,He remained poor despite being a hard worker.,一生懸命働いたが、彼は相変わらず貧乏であった。
versus,～に対して,前置詞,versus beat'em-up game,対戦格闘ゲーム
via,～を経由して；～によって,前置詞,I'd like to return to Tokyo via Honolulu.,ホノルル経由で東京に帰りたいのですが。
for,～のために；～に向かって；～にとって,前置詞,I'm at a loss for words.,何と言ったら良いか分かりません。
