can,〜することができる,助動詞,Sometimes he can be a strange guy.,彼は時々変です。
could,～できた,助動詞,If the world weren't in the shape it is now， I could trust anyone.,もし世界が今の形をしていなかったら、私は誰でも信用できうる。
have,持っている,助動詞,I have to go to sleep.,私は眠らなければなりません。
might,～かもしれない；～してもよい,助動詞,You never listen. I might as well talk to the wall.,君は全然ぼくの話を聞いてくれない。壁に向って話すようなものだ。
must,〜しなければならない；〜に違いない,助動詞,Seeing that you're not surprised， I think you must have known.,驚かない所をみると知ってたのね。
ought,～するべきである；～するはずである,助動詞,You look tired. You ought to rest for an hour or two.,君は疲れた顔をしている。１、２時間休息すべきだ。
shall,～すべきである；当然～だろう；～しましょうか,助動詞,You shall have a bicycle for your birthday.,誕生日には自転車をあげるよ。
should,～べきである,助動詞,You should sleep.,眠った方がいいよ。
will,～するつもりである；～でしょう,助動詞,I will be back soon.,すぐに戻ります。
would,～だろう；～したい；よく～したものだった,助動詞,This is what I would have said.,私ならそう言っただろうと思う。
may,〜してもよい；～かもしれない；～であろう,助動詞,I may give up soon and just nap instead.,すぐに諦めて昼寝をするかも知れない。
