billion,十億,数字,The generous dentist contributed some two billion yen to charity.,気前の良いその歯科医はおよそ２０億円を慈善事業に寄付した。
eight,8,数字,Our school begins at eight in the morning.,学校は朝八時から始まります。
eighteen,18,数字,I was eighteen then.,そのとき私は１８歳だった。
eighty,80,数字,Halley's Comet comes round once every eighty years.,ハレー彗星は、８０年ごとに１度やってくる。
fifteen,15,数字,Chestnuts have to be boiled for at least fifteen minutes.,栗は少なくとも１５分は茹でなくてはいけない。
fifty,50,数字,The bank will cash your fifty dollar check.,銀行に行けばその５０ドルの小切手を現金に換えてくれる。
five,5,数字,It's just five in the morning， but nevertheless it is light out.,朝の４時４５分だというのに明るい。
forty,40,数字,We have enjoyed peace for more than forty years.,我々は４０年以上も平和に暮らしている。
four,4,数字,I am four months pregnant.,妊娠４か月です。
fourteen,14,数字,My brother left his school when he was fourteen years old.,兄は１４歳の時に学校を辞めた。
hundred,100,数字,Please draw a hundred thousand yen from the bank.,銀行で１０万下ろしてください。
million,百万,数字,One million people lost their lives in the war.,１００万人の人々がその戦争で命を落とした。
nine,9,数字,You must come back before nine o'clock.,君は九時前に帰らなければならない。
nineteen,19,数字,I am nineteen years old.,１９歳です。
ninety,90,数字,It is not rare at all to live over ninety years.,９０歳以上生きることは決してまれではない。
one,一つ；人・もの,数字,No one will know.,誰にも分からないよ。
seven,七,数字,Make sure that you arrive at seven o'clock.,間違いなく７時に着くようにしてください。
seventeen,十七,数字,Helen is seventeen years old.,ヘレンは１７歳です。
seventy,七十,数字,The school was founded seventy years ago.,その学校は開校してから７０年になる。
six,六,数字,The milkman came around at six every morning.,牛乳配達は毎朝６時にやってきた。
sixteen,十六,数字,I'll be sixteen years old next month.,私は来月16歳になります。
sixty,六十,数字,A minute has sixty seconds.,1分は60秒です。
ten,10,数字,It would be so cool if I could speak ten languages!,10ヶ国語を話せたらどんなにかっこいいだろう！
thirteen,13,数字,A time bomb went off in the airport killing thirteen people.,空港で時限爆弾が爆発し１３名もの命を奪った。
thirty,30,数字,You will be delayed for only thirty minutes at worst.,君はせいぜい３０分しか遅れないだろう。
thousand,1000 ,数字,A thousand yen is owed to you.,君に１０００円支払われるべきだ。
three,3,数字,Excuse me; allow me to point out three errors in the above article.,失礼だが、上記の記事にある３つの誤りを指摘しておきたい。
twelve,12,数字,I spent twelve hours on the train.,電車で１２時間過ごした。
twenty,20,数字,It was twenty years ago as I look back on it.,回顧すればもう２０年の昔となった。
two,2,数字,It took me more than two hours to translate a few pages of English.,２、３ページの英語を訳すのに２時間以上もかかりました。
zero,ゼロ,数字,Nobody got zero in that test.,そのテストではだれも零点をとらなかった。
trillion,兆,数字,It's 9.5 trillion kilometers.,それは９兆５千億ｋｍです。
eleven,11,数字,We retire at eleven o'clock.,我々は１１時に床につく。
